[2024-09-10 02:01:46,587: INFO: main: Yo dude]
[2024-09-14 22:45:50,330: INFO: main: Starting data ingestion pipeline]
[2024-09-14 22:45:50,353: INFO: common: Read yaml file from config\config.yaml]
[2024-09-14 22:45:50,373: INFO: common: Read yaml file from params.yaml]
[2024-09-14 22:45:50,374: INFO: common: Created directory artifacts]
[2024-09-14 22:47:08,426: INFO: main: Starting data ingestion pipeline]
[2024-09-14 22:47:08,431: INFO: common: Read yaml file from config\config.yaml]
[2024-09-14 22:47:08,432: INFO: common: Read yaml file from params.yaml]
[2024-09-14 22:47:08,433: INFO: common: Created directory artifacts]
[2024-09-14 22:47:08,434: INFO: common: Created directory artifacts/data_ingestion]
[2024-09-14 22:47:51,354: INFO: data_ingestion: Downloaded file from artifacts/data_ingestion/data.zip to artifacts/data_ingestion/data.zip]
[2024-09-14 22:47:51,355: INFO: main: Step 1 data ingestion completed]
[2024-09-14 22:52:45,592: INFO: main: Starting data ingestion pipeline]
[2024-09-14 22:52:45,597: INFO: common: Read yaml file from config\config.yaml]
[2024-09-14 22:52:45,598: INFO: common: Read yaml file from params.yaml]
[2024-09-14 22:52:45,598: INFO: common: Created directory artifacts]
[2024-09-14 22:52:45,608: INFO: common: Created directory artifacts/data_ingestion]
[2024-09-14 22:52:55,362: INFO: data_ingestion: Downloaded file from artifacts/data_ingestion/data.zip to artifacts/data_ingestion/data.zip]
[2024-09-14 22:52:55,611: INFO: main: Step 1 data ingestion completed]
[2024-09-14 23:45:27,929: INFO: common: Read yaml file from config\config.yaml]
[2024-09-14 23:45:27,932: INFO: common: Read yaml file from params.yaml]
[2024-09-14 23:45:27,935: INFO: common: Created directory artifacts]
[2024-09-14 23:45:45,929: INFO: common: Read yaml file from config\config.yaml]
[2024-09-14 23:45:45,933: INFO: common: Read yaml file from params.yaml]
[2024-09-14 23:45:45,936: INFO: common: Created directory artifacts]
[2024-09-14 23:45:45,938: INFO: common: Created directory artifacts/data_validation]
[2024-09-15 00:51:12,643: INFO: main: Starting data ingestion pipeline]
[2024-09-15 00:51:12,656: INFO: common: Read yaml file from config\config.yaml]
[2024-09-15 00:51:12,658: INFO: common: Read yaml file from params.yaml]
[2024-09-15 00:51:12,660: INFO: common: Created directory artifacts]
[2024-09-15 00:51:12,661: INFO: common: Created directory artifacts/data_ingestion]
[2024-09-15 00:51:24,508: INFO: data_ingestion: Downloaded file from artifacts/data_ingestion/data.zip to artifacts/data_ingestion/data.zip]
[2024-09-15 00:51:24,741: INFO: main: Step 1 data ingestion completed]
[2024-09-15 00:51:24,742: INFO: main: Step  data validation pipeline]
[2024-09-15 00:51:24,750: INFO: common: Read yaml file from config\config.yaml]
[2024-09-15 00:51:24,751: INFO: common: Read yaml file from params.yaml]
[2024-09-15 00:51:24,752: INFO: common: Created directory artifacts]
[2024-09-15 00:51:24,753: INFO: common: Created directory artifacts/data_validation]
[2024-09-15 00:51:24,754: INFO: main: Step 2 data validation completed]
[2024-09-15 00:53:25,515: INFO: main: Starting data ingestion pipeline]
[2024-09-15 00:53:25,521: INFO: common: Read yaml file from config\config.yaml]
[2024-09-15 00:53:25,522: INFO: common: Read yaml file from params.yaml]
[2024-09-15 00:53:25,523: INFO: common: Created directory artifacts]
[2024-09-15 00:53:25,544: INFO: common: Created directory artifacts/data_ingestion]
[2024-09-15 00:53:32,283: INFO: data_ingestion: Downloaded file from artifacts/data_ingestion/data.zip to artifacts/data_ingestion/data.zip]
[2024-09-15 00:53:32,492: INFO: main: Step 1 data ingestion completed]
[2024-09-15 00:53:32,492: INFO: main: Step  data validation pipeline]
[2024-09-15 00:53:32,498: INFO: common: Read yaml file from config\config.yaml]
[2024-09-15 00:53:32,501: INFO: common: Read yaml file from params.yaml]
[2024-09-15 00:53:32,502: INFO: common: Created directory artifacts]
[2024-09-15 00:53:32,502: INFO: common: Created directory artifacts/data_validation]
[2024-09-15 00:53:32,504: INFO: main: Step 2 data validation completed]
